id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
864	pt catalyst	-0.9391	-0.0375	1	52	113	5	2018.8
865	pt nanoparticle	-0.5302	0.3266	5	79	212	14	2018.5714
866	pure diesel	1.509	0.1017	6	67	227	8	2021.75
867	purification	0.4774	0.0412	3	47	98	14	2019.1429
868	py oil	-0.7543	-0.513	4	20	154	7	2020
869	pyrolysis bio oil	-0.6272	-0.7083	4	62	225	12	2017.4167
870	pyrolysis oil	0.3695	-0.0995	6	86	332	17	2020.3529
871	raman	-0.3638	-0.1305	1	62	116	7	2021
872	raman spectroscopy	-0.0277	-0.3644	4	78	173	7	2019.1429
873	rapeseed oil	0.4292	-0.5346	2	23	74	9	2018.1111
874	rational design	-1.0109	-0.01	1	56	98	5	2021
875	reaction cycle	-0.2228	-0.3014	2	73	101	9	2019.8889
876	reaction mechanism	-0.6899	-0.1627	1	173	425	25	2019.08
877	reaction mixture	0.3823	-0.4395	2	40	79	9	2018.4444
878	reaction pathway	-0.5997	-0.2997	1	170	381	24	2019.125
879	recent advance	-0.0003	0.3543	3	104	252	17	2019.2941
880	recent development	-0.1964	0.2763	3	75	118	9	2018.4444
881	recent progress	-0.0048	0.2521	3	55	100	7	2020.2857
882	recyclable catalyst	-0.155	-0.32	2	65	98	9	2018.2222
883	red mud	-0.3401	-0.2299	4	13	60	8	2020.5
884	relationship	-0.1809	-0.2106	2	99	202	15	2020.7333
885	removal	0.1811	0.0254	3	156	458	31	2019.4516
886	renewable energy source	0.3176	0.0602	3	94	177	12	2018.25
887	renewable feedstock	0.1256	0.2164	3	74	142	8	2020.375
888	renewable nature	0.6456	-0.0474	2	43	91	6	2017.1667
889	report	-0.5626	0.7519	5	113	245	13	2018.8462
890	residence time	0.0898	-0.4734	4	102	234	15	2019.5333
891	response surface	0.3486	-0.2475	2	18	32	5	2019.6
892	response surface method	0.096	-0.1718	2	33	53	5	2019
893	return	0.5356	0.1206	3	52	93	6	2020.5
894	review	0.2329	0.2968	3	345	1641	124	2020.0645
895	rgo	-0.7258	0.7686	5	108	426	18	2018.1667
896	rice husk	0.0978	-0.4206	4	40	77	7	2020.7143
897	rice straw	-0.3654	-0.2804	1	67	340	22	2019.7727
898	ring opening	-0.9908	-0.2234	1	40	85	6	2018
899	risk	0.5515	-0.0309	3	45	86	7	2020.5714
900	rpm	1.1489	-0.0131	6	231	1012	56	2020.2679
901	rsm	0.3824	-0.3419	2	249	647	58	2020.1207
902	ru c	-0.8304	-0.4051	1	37	129	7	2017
903	ru nanoparticle	-0.7156	-0.0604	1	55	117	6	2019.1667
904	rubber seed oil	0.7284	-0.2852	2	30	73	7	2018.5714
905	s c e w	-0.1585	-1.1604	4	15	154	7	2018
906	s c w	-0.1596	-1.1695	4	15	138	6	2018
907	sapo	-0.3077	0.4576	5	6	42	7	2022
908	sargassum	-0.0594	-0.9634	4	14	160	5	2020
909	saso	0.7292	-0.2827	2	14	144	8	2021
910	saturated fatty acid	0.7486	-0.0058	3	32	63	5	2020
911	scanning electron microscopy	0.4177	-0.2714	2	160	311	22	2018.9091
912	scenedesmus	0.6169	0.8309	3	16	126	6	2022
913	scg	0.4424	-0.2022	2	18	85	7	2020.1429
914	scme	1.7515	0.3058	6	18	186	6	2020
915	sco	0.7762	-0.0167	2	12	86	9	2021.4444
916	scp	1.1683	-0.0017	6	32	124	6	2021.6667
917	scwg	0.7192	0.4586	3	16	129	7	2021.4286
918	search	0.6417	-0.0111	3	126	208	14	2019.5714
919	sec	0.6721	-0.4527	2	18	64	5	2020.6
920	second generation biofuel	0.2443	0.0037	3	85	155	14	2018.6429
921	seed	0.6406	-0.2901	2	165	622	55	2019.8182
922	seed oil	0.5856	-0.3296	2	175	745	60	2020.5333
923	selection	0.3294	0.1628	3	90	226	15	2018.5333
924	selective catalyst	-0.9781	-0.1336	1	67	154	8	2019.375
925	selective conversion	-0.817	0.0704	1	96	188	11	2017.6364
926	selective hydrogenation	-0.9554	0.0123	1	127	448	23	2020.6522
927	selective hydrogenolysis	-1.218	-0.1479	1	56	163	8	2021.125
928	self	-0.3795	0.8937	5	81	216	10	2019.6
929	sensitivity analysis	0.6487	0.011	3	44	95	7	2020.1429
930	sensor	-0.3178	0.687	5	76	294	20	2019.1
931	shape	0.2606	-0.2773	2	98	243	16	2020.0625
932	short initial time	0.3807	1.0011	3	1	5	5	2021
933	short time	-0.0218	-0.3408	2	34	50	5	2018.4
934	si ce	0.1354	-0.585	2	16	78	6	2019
935	significant improvement	0.1958	0.7276	5	70	116	6	2018.6667
936	significant increase	0.1291	-0.6897	4	35	79	5	2019.2
937	significant loss	-0.2122	-0.3329	2	77	140	12	2018.25
938	significant reduction	1.1021	0.1772	6	81	185	8	2020.625
939	similarity	0.6703	0.6358	7	57	371	10	2020.8
940	simultaneous esterification	0.303	-0.3395	2	33	65	11	2018.3636
941	single cylinder	1.669	0.1016	6	73	243	8	2021.25
942	situ	-0.619	-0.1809	4	68	107	8	2019.25
943	sludge	0.3215	-0.1294	3	64	203	16	2019.6875
944	small amount	-0.6232	0.199	1	58	85	5	2018.4
945	smoke	1.5102	0.2611	6	72	208	7	2020.5714
946	smoke emission	1.4495	0.1749	6	45	111	5	2018.6
947	sodium methoxide	0.7626	-0.4821	2	14	52	5	2016.4
948	solid base catalyst	0.2506	-0.2816	2	82	177	23	2016.3043
949	solid product	0.0128	-0.458	4	29	78	6	2019.3333
950	solid residue	-0.2939	-0.8622	4	58	123	9	2018.1111
951	solid waste	0.3123	0.1784	3	65	146	8	2019.375
952	solketal	-0.0786	0.0661	5	17	76	7	2020.4286
953	solution combustion method	0.0713	-0.1616	2	24	37	5	2020.2
954	solvent free condition	-0.401	-0.1795	2	53	75	7	2018.5714
955	sonication	-0.0056	-0.2461	2	60	146	11	2019.7273
956	sono	0.0919	-0.5123	2	34	87	6	2019.1667
957	sono dispersion	0.2041	-0.5714	2	19	68	5	2019.2
958	sorbitol	-0.5621	0.0181	5	45	129	8	2016.5
959	sorghum	0.3738	0.7223	7	28	380	9	2020.5556
960	specific fuel consumption	1.647	0.04	6	78	235	10	2020.1
961	spirulina	0.3656	-0.4665	4	72	193	14	2018.7857
962	spirulina platensis	0.1537	-0.8259	4	41	253	13	2019.8462
963	statistical design	0.6872	-0.002	2	17	38	5	2019.4
964	stearic acid	-0.3739	-0.378	1	34	149	17	2020.4118
965	step process	-0.4056	0.047	1	70	103	8	2017.5
966	stone	0.4097	-0.4298	2	3	18	6	2021
967	strain	0.4433	0.1817	3	83	192	15	2019.9333
968	stroke	1.7614	0.1348	6	64	174	5	2021.2
969	strong interaction	-0.8464	-0.1305	1	97	187	12	2020.25
970	subcritical water	-0.1485	-0.8558	4	62	203	9	2018.5556
971	sugarcane bagasse	-0.0476	0.0062	3	29	96	6	2018.8333
972	suitability	0.956	-0.0147	2	100	171	11	2020.2727
973	sulfation	-0.1081	-0.4653	2	30	50	5	2020.6
974	sulfonation	-0.1638	-0.1965	2	56	109	9	2019.3333
975	sunflower oil	0.3116	-0.2496	2	106	314	32	2019.0938
976	supercritical ethanol	-0.8418	-0.8062	4	34	175	10	2018.2
977	supercritical methanol	-0.4571	-0.7332	4	43	214	10	2018.5
978	supercritical water	0.0095	-0.8341	4	85	445	14	2017.6429
979	supercritical water gasification	0.3718	-0.4503	4	55	318	12	2018.1667
980	superior activity	-0.6178	-0.3717	1	34	55	5	2020.4
981	superior catalytic activity	-0.8804	-0.0603	1	50	83	6	2020.1667
982	superior catalytic performance	-0.62	0.1654	1	94	162	11	2019.2727
983	surface modification	-0.3659	0.1443	5	48	88	6	2019.6667
984	surface property	-0.0766	-0.0748	2	61	114	8	2021.125
985	sustainability	0.5933	0.2363	3	147	426	25	2019.2
986	sustainable biodiesel production	0.7481	-0.0482	3	55	92	7	2019.8571
987	sustainable biofuel	-0.1619	-0.0979	1	72	133	8	2020.25
988	sustainable development	-0.3498	-0.277	1	65	111	8	2019.75
989	sustainable energy	0.3395	-0.1277	3	61	107	7	2020.8571
990	sustainable source	0.395	0.0218	3	36	72	6	2021.3333
991	synechocystis	0.5107	0.5007	3	6	35	5	2017
992	synergetic effect	-0.58	0.1766	1	54	75	5	2019
993	synergistic effect	-0.4558	-0.3556	1	209	502	30	2019.0333
994	synergy	-0.8741	0.2192	1	85	151	10	2019
995	syngas production	0.2538	-0.0931	3	43	111	11	2019.9091
996	synthesized biodiesel	0.6095	-0.2408	2	52	69	5	2021.2
997	synthesized nanocatalyst	0.2108	-0.4696	2	57	106	9	2020.2222
998	tail gas	0.057	0.6856	3	10	147	7	2022
999	tea	-0.016	0.0087	4	11	112	8	2010
1000	techno economic analysis	0.5375	-0.1162	3	43	109	10	2021.3
1001	tem analysis	0.3261	-0.4677	2	43	77	6	2019.8333
1002	tempo	-1.0142	-0.6133	1	7	78	6	2020
1003	testing	0.7269	0.225	6	83	161	9	2018.7778
1004	tetrahydrofuran	-0.8849	-0.2403	1	64	108	6	2019.8333
1005	tetrahydrofurfuryl alcohol	-0.8956	0.0426	1	53	98	5	2018.8
1006	thailand	0.7266	-0.213	2	31	101	7	2020.5714
1007	tio	0.3032	-0.4591	2	8	40	5	2019
1008	tof	-0.7893	-0.1348	1	81	135	10	2018.9
1009	toluene	-0.2741	-0.1343	1	96	193	11	2019.5455
1010	ton	-0.2889	-0.1518	4	68	116	7	2018.5714
1011	topology	0.7583	0.0486	3	26	104	8	2020.875
1012	total acid number	-0.4062	-0.6694	4	55	114	5	2019
1013	total basicity	0.3864	-0.0801	2	17	28	6	2018.8333
1014	total gas yield	0.1476	-0.7975	4	43	190	6	2017.5
1015	total yield	-0.9988	-0.3767	1	44	95	5	2020.8
1016	toxic compound	-0.0375	-0.1083	3	8	102	6	2021
1017	tpr	-0.6733	-0.1049	1	63	115	9	2017.7778
1018	transmission electron microscope	0.1488	-0.0705	2	52	78	5	2018.2
1019	transportation	-0.2222	0.3725	5	72	119	7	2019.8571
1020	triolein	-0.2932	-0.2705	2	34	75	8	2019
1021	tungstophosphoric acid	-0.1095	-0.224	2	24	39	5	2018.2
1022	turnover frequency	-0.5335	-0.2976	1	74	131	9	2019.2222
1023	uhc	1.5857	0.2244	6	66	169	6	2021
1024	uio	-0.8826	0.1715	1	18	59	5	2019.6
1025	ultimate analysis	0.1153	-0.6877	4	59	146	7	2020.1429
1026	ultrasonic pretreatment	0.3124	-0.5886	4	18	88	5	2018.8
1027	ultrasound irradiation	0.229	-0.3943	2	40	145	9	2020.3333
1028	uniform	-0.3499	0.221	2	27	52	5	2018.4
1029	uniform dispersion	-0.2982	-0.0964	2	64	94	6	2018
1030	upgrade	-0.5508	-0.1689	1	74	151	8	2018.875
1031	upgrading	-0.5221	-0.1102	1	198	585	41	2019
1032	urea	-0.0651	0.5005	5	63	189	11	2018.6364
1033	v v	0.6124	-0.1518	2	141	353	22	2019.3636
1034	valerolactone	-0.8688	-0.0658	1	164	726	57	2018.1228
1035	valuable chemical	-0.5996	0.0342	1	94	212	13	2020.1538
1036	vanillin	-0.8202	-0.2175	1	48	79	6	2019.6667
1037	vanillyl alcohol	-1.0034	-0.1912	1	31	89	6	2019.3333
1038	variance	0.7505	0.0991	7	36	91	5	2019.2
1039	variation	0.3993	-0.1572	2	98	248	13	2020.2308
1040	viability	0.3113	0.1029	3	133	249	19	2020.5263
1041	viz	0.7318	0.0769	7	117	275	13	2019.3077
1042	vol	0.2614	-0.2381	4	83	256	17	2020.4118
1043	voltage	-0.0711	0.5995	5	46	95	7	2017.2857
1044	volume	0.3496	0.0768	6	92	170	10	2020
1045	vsm	0.2278	-0.1756	2	80	148	13	2018.7692
1046	w cm2	-0.7143	1.2925	5	64	175	7	2019.7143
1047	w v	0.4887	-0.335	2	32	54	6	2019.5
1048	w w	0.3895	-0.2849	2	140	309	27	2019.1481
1049	waste edible oil	0.664	-0.4227	2	39	83	8	2020.5
1050	waste frying oil	-0.139	-0.3931	2	27	76	8	2021.125
1051	waste lignin	-0.7066	-0.1437	1	35	107	5	2019.4
1052	wastewater	0.468	0.3752	3	169	900	53	2019.3019
1053	wastewater treatment	0.6349	0.6491	3	70	146	7	2019.7143
1054	water solvent	0.212	-0.6905	4	21	122	7	2019.8571
1055	weed	0.3812	0.3554	3	22	110	6	2020
1056	wet impregnation method	0.0667	-0.2638	2	63	119	12	2019.3333
1057	wet microalgae	0.639	-0.3759	2	20	67	6	2018.8333
1058	wfo	-0.0036	-0.3167	2	33	119	14	2021.0714
1059	wheat straw	0.2313	-0.5428	4	31	230	11	2016.7273
1060	wide range	-0.354	0.2256	5	62	97	8	2017.625
1061	world	0.615	0.1063	3	165	449	33	2019.3636
1062	x ray fluorescence	0.2284	-0.3973	2	56	82	10	2018.8
1063	xrd analysis	0.2827	-0.3658	2	84	129	9	2019.2222
1064	xylan	-0.7739	-0.4484	4	19	86	5	2018.8
1065	xylose	0.1884	0.255	3	47	105	6	2020
1066	yeast	0.5489	0.1698	3	58	180	14	2020.4286
1067	zinc	0.3284	0.0072	2	48	64	7	2018.2857
1068	zirconia	0.1169	-0.3625	2	53	73	10	2017.3
1069	zirconium	-0.3741	0.0217	1	72	157	10	2019.6
1070	zirconium oxide	-0.1087	-0.3124	1	24	69	6	2021
1071	zn hzsm	-0.6367	-0.8626	4	29	476	16	2017
1072	zno nanocatalyst	0.0817	-0.2843	2	23	49	7	2016.1429
1073	zno nanoparticle	-0.1181	0.5809	5	52	134	10	2020.3
1074	zrbtc	-0.8251	0.0522	1	17	264	12	2022
