id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
132	bte	1.6053	0.1167	6	101	468	17	2021.5294
133	c min	-0.0467	-0.3288	4	42	138	9	2020.7778
134	c o bond	-1.2574	-0.1296	1	40	147	8	2019.5
135	c12 dmaphhso42	0.4097	-0.1797	2	9	60	5	2021
136	ca btdc	1.5483	0.1295	6	25	82	6	2018.6667
137	calcination temperature	0.3297	-0.3344	2	56	91	10	2018.6
138	calcium	0.2356	-0.4641	2	55	130	12	2019
139	calcium oxide catalyst	0.5779	-0.2776	2	51	89	10	2020
140	calculation	-0.7494	-0.188	1	116	256	17	2019.8824
141	calophyllum inophyllum oil	0.5326	-0.3144	2	20	57	6	2019.6667
142	cannabis sativa l	0.3803	0.4002	3	12	100	5	2020
143	canola oil	0.1663	-0.27	2	50	87	9	2019.3333
144	cao catalyst	0.3647	-0.3256	2	92	254	26	2018.5
145	cao nanocatalyst	0.497	-0.3385	2	26	67	9	2020.1111
146	carbon catalyst	-0.3023	0.4729	5	58	108	10	2021
147	carbon content	0.0184	-0.6691	4	94	228	11	2019.9091
148	carbon deposition	-0.1193	-0.0923	1	40	82	8	2019.125
149	carbon dioxide	0.5573	0.2156	3	125	285	19	2018.5263
150	carbon material	-0.5642	-0.0236	4	82	152	11	2018.9091
151	carbon monoxide	1.0843	0.3087	6	85	220	11	2019.1818
152	carbon nanofiber	-0.4542	1.1027	5	66	118	6	2017.6667
153	carbon nanotube	0.0342	0.7688	5	239	895	43	2017.5581
154	carbon paper	-0.671	1.4292	5	55	219	9	2016.1111
155	carbonyl	-1.0989	-0.1509	1	65	150	10	2018.8
156	carboxylic acid	-0.5513	0.3552	5	74	138	9	2018.6667
157	castor	0.8417	-0.0345	2	56	105	7	2019.5714
158	castor biodiesel	1.3951	0.1381	6	10	55	5	2019
159	castor oil	0.3741	-0.2201	2	47	137	17	2018.2353
160	catalyst concentration	0.4029	-0.3198	2	216	603	53	2018.8302
161	catalyst efficiency	-0.3548	-0.7302	4	32	86	5	2017.8
162	catalyst ratio	0.0919	-0.2758	2	42	89	8	2018.375
163	catalyst structure	-0.2494	-0.1033	2	58	95	6	2020.1667
164	catalytic behavior	-0.4895	-0.4078	4	47	79	5	2019
165	catalytic cracking	0.0082	-0.3625	4	28	67	8	2019.125
166	catalytic effect	-0.4908	-0.3294	1	58	91	6	2017.3333
167	catalytic fast pyrolysis	-0.4915	-0.2232	1	33	58	5	2019.2
168	catalytic hydrodeoxygenation	-0.95	-0.3078	1	73	139	8	2020.125
169	catalytic hydrogenation	-0.912	-0.014	1	85	163	9	2019.2222
170	catalytic hydrothermal liquefaction	-0.0766	-0.5498	4	55	118	6	2018.6667
171	catalytic liquefaction	-0.6367	-0.8799	4	20	109	6	2018.6667
172	catalytic pyrolysis	-0.1529	-0.4069	4	80	216	23	2019.6087
173	catalytic test	-0.2708	-0.5853	4	27	67	6	2016.6667
174	catalytic transfer hydrogenation	-0.9504	-0.1606	1	88	240	14	2019.7857
175	catalytic transformation	-0.8739	-0.1231	1	52	99	7	2018.4286
176	catalytic upgrading	-0.4159	-0.1884	1	84	166	12	2019.9167
177	cathode	-0.3781	1.042	5	115	527	30	2018.4
178	ccd	0.5824	-0.2988	2	92	168	14	2020.1429
179	cell	-0.0903	0.8016	5	150	452	28	2017.25
180	cell wall component	0.6275	0.7662	7	15	306	6	2021
181	cellobiose	-0.8818	0.1478	5	33	132	8	2015.75
182	cellulase	-0.208	0.3226	5	44	158	14	2019.8571
183	cellulose	-0.3171	0.0945	7	233	1439	85	2018.2353
184	central composite design	0.483	-0.3605	2	154	296	26	2019.5769
185	ceo2 nanoparticle	1.7645	0.0107	6	42	208	6	2020.8333
186	cerium oxide	1.0645	0.398	6	61	135	7	2018.4286
187	ch4	-0.5075	-0.2747	4	34	66	5	2018.6
188	characterization study	-0.7283	-0.1672	1	58	88	7	2019.2857
189	chemistry	-0.0427	0.3686	3	61	102	10	2015.1
190	chicken fat	0.566	-0.2623	2	45	103	7	2020.4286
191	china	0.3805	-0.3169	4	79	163	9	2020.4444
192	chlorella	1.0377	0.183	3	60	253	10	2021.1
193	chlorella pyrenoidosa	0.8013	-0.0875	6	20	65	5	2019.2
194	chlorella vulgaris	0.2544	0.3796	3	53	191	12	2020.3333
195	ci engine	1.5347	0.0567	6	82	337	13	2020.4615
196	citrullus	1.7513	0.0299	6	31	192	6	2021.6667
197	clay	-0.1578	-0.2143	2	46	143	14	2020.2857
198	cleavage	-1.0632	-0.1672	1	83	267	16	2020.0625
199	climate change	0.2869	0.1979	3	95	182	15	2019.8667
200	cloud point	0.7046	-0.2864	2	108	215	18	2019.5
201	cmf	-0.7605	-0.2227	1	21	84	7	2017.1429
202	cnt	0.0466	0.494	5	163	626	32	2018
203	cnts	-0.22	-0.0891	1	57	223	10	2019.8
204	cnwedb	1.9799	0.0871	6	23	220	5	2022
205	co azmocp	-0.6927	-0.027	1	13	168	8	2021
206	co bond	-1.04	-0.102	1	49	105	5	2021
207	co fermentation	0.3999	0.6568	3	13	81	6	2020.5
208	co htl	0.0912	-0.8101	4	14	102	6	2019
209	co liquefaction	0.1026	-0.566	4	27	90	7	2019.5714
210	co solvent	0.1558	-0.5934	4	93	169	13	2019
211	co2 emission	1.1773	0.1611	6	91	173	7	2021.4286
212	co2 temperature	-0.3334	-0.293	1	31	45	5	2018.8
213	coal	0.3706	-0.0132	3	42	64	6	2019.3333
214	cobalt	-0.5046	-0.0676	1	86	205	15	2020.6
215	cobalt nanoparticle	-0.9745	-0.0681	1	41	73	5	2018.2
216	coconut oil	0.076	0.1609	2	22	63	5	2021.2
217	cod	0.5866	0.5165	3	74	234	13	2019.3846
218	coir	0.039	-1.3431	4	17	203	7	2021
219	coke	-0.3342	-0.4073	4	63	125	11	2019.6364
220	coke deposition	-0.4847	-0.2977	1	38	59	5	2020.4
221	coke formation	-0.3532	-0.2887	1	57	128	10	2019.1
222	coking	-0.2622	-0.3549	4	37	70	6	2019
223	colombia	0.5979	0.0601	2	17	40	6	2021.5
224	color	0.6118	-0.3616	2	31	92	6	2020.6667
225	combustion	0.9889	-0.0744	6	205	1026	60	2019.5667
226	combustion characteristic	1.2107	0.087	6	84	307	13	2019.5385
227	combustion method	0.0829	-0.369	2	36	77	7	2019.1429
228	combustion process	0.7193	-0.1275	6	75	168	9	2019.7778
229	commercialization	0.2467	0.1185	3	130	235	13	2020.2308
230	complete conversion	-0.4229	-0.1666	1	76	154	10	2020
231	compression ignition engine	1.5445	0.1781	6	55	150	5	2020.2
232	concept	0.4312	0.3394	3	142	356	22	2020.1818
233	conductivity	-0.1915	0.674	5	122	256	15	2018.8667
234	construction	-0.6158	0.7675	5	157	411	21	2018
235	conventional diesel	0.6576	0.0553	3	46	95	6	2019.8333
236	conventional exergy	0.7677	0.486	3	17	123	6	2016
237	conventional fuel	0.9936	0.1505	6	71	182	10	2020.6
238	conversion yield	0.4521	-0.4122	2	65	131	12	2019.9167
239	cost effectiveness	0.1303	0.2235	3	41	55	5	2019
240	country	0.6357	0.0304	3	114	373	24	2020.5833
241	crop	0.6032	0.0444	3	143	441	26	2020.4615
242	cross	-0.3453	0.2677	5	56	131	9	2016.1111
243	crystalline structure	-0.0158	-0.4877	2	77	162	10	2018.9
244	cst	1.031	-0.2487	2	36	102	6	2020.8333
245	cth	-0.9761	-0.2388	1	73	256	13	2020.3846
246	cu ni tio2 catalyst	-1.254	-0.273	1	30	98	6	2017.3333
247	cu sio2 catalyst	-0.9968	0.2695	1	9	68	8	2015.75
248	cu zn	0.0956	-0.359	2	13	58	8	2019.375
249	cu3pd	-1.3872	-0.2887	1	18	170	5	2021
250	cultivation	0.742	0.4502	3	180	803	39	2019.7692
251	culture medium	0.5518	0.7127	3	39	120	5	2020.4
252	current density	-0.626	1.1889	5	126	554	25	2018.56
253	current status	0.3021	0.4362	3	37	82	5	2019.8
254	cyclic voltammetry	-0.6891	1.1589	5	53	118	5	2017.6
255	cycloalkane	-1.178	-0.1997	1	35	115	5	2018.6
256	cyclohexane	-0.7511	-0.2795	1	54	125	9	2019.2222
257	cyclohexanol	-1.0754	-0.2785	1	45	139	7	2016.2857
258	cyclohexanone	-0.6407	-0.2226	1	42	96	6	2018.8333
259	cylinder pressure	1.2701	0.2343	6	60	165	6	2020.5
260	d fructose	-0.8009	-0.4294	1	23	116	7	2017.2857
261	date	-0.2679	0.3135	5	87	141	7	2020.1429
262	date seed	-0.6998	-0.4203	4	31	160	7	2021.7143
263	day	0.2923	0.6141	7	113	411	18	2017.5556
264	decarbonylation	-0.6462	-0.3145	1	149	354	23	2019.4783
265	decarboxylation	-0.4225	-0.4465	1	105	253	17	2019.6471
266	dee	0.7963	0.0271	6	22	164	6	2019.8333
267	deep eutectic solvent	-0.7463	-0.4573	1	15	56	6	2020
268	degradation	0.0594	0.4229	3	133	346	27	2020.1481
269	degree	-0.5231	-0.1569	1	119	227	18	2018.2778
270	dehydration	-0.8042	-0.2196	1	127	472	30	2017.8333
271	dehydrogenation	-0.8661	-0.1799	1	90	189	10	2020.6
272	density functional theory	-0.8952	-0.0744	1	71	153	10	2020.1
273	depolymerization	-0.792	-0.1746	1	106	242	15	2020.3333
274	desorption	-0.3904	-0.2403	1	167	366	32	2018.7812
275	det	-0.7646	1.5037	5	66	272	10	2017.4
276	detection	-0.6366	0.8223	5	66	195	13	2019.4615
277	detection limit	-0.603	0.9631	5	61	125	7	2017.8571
278	dff	-1.0369	-0.0357	1	21	56	5	2017.6
279	dft	-0.9185	-0.0758	1	56	113	7	2020
280	dft calculation	-0.7463	-0.0666	1	48	86	5	2019.4
281	di diesel engine	1.7334	0.3251	6	47	154	6	2017.8333
282	diesel	1.1314	0.0757	6	381	2478	126	2020.1587
283	diesel biodiesel blend	1.5627	0.3372	6	36	149	7	2017.5714
284	diesel engine	1.2365	0.1003	6	233	1689	79	2019.9241
285	diesel fuel	1.1419	0.037	6	168	678	43	2019.5116
286	difference	0.2076	-0.2679	4	125	282	12	2018.1667
287	diffusion	-0.5106	0.2393	5	130	276	18	2019.3889
288	dimethyl carbonate	0.7349	-0.4274	2	16	92	6	2018.3333
289	dimethylfuran	-1.0761	-0.1873	1	178	882	49	2019.8367
290	direct electron transfer	-0.7034	1.4588	5	77	270	10	2017.2
291	disposal	0.2069	0.1218	3	91	165	15	2019.6
292	dmc	0.6218	-0.2895	2	13	132	6	2021
293	dmf	-1.054	-0.1702	1	162	1484	81	2019.7654
294	dmf yield	-1.1503	0.0373	1	61	181	10	2020.3
295	dmso	-0.9722	-0.3073	1	17	72	6	2014.3333
296	dmthf	-1.2468	-0.293	1	38	173	7	2019.7143
297	dolomite	0.4555	-0.1499	2	16	37	5	2020.2
298	dopant	-0.1492	-0.2508	2	48	92	9	2019.8889
299	drop	0.1949	0.3436	6	117	217	12	2019.4167
300	dry biomass	0.4909	0.1668	7	62	147	8	2019
301	dual active site	-1.1979	-0.2837	1	13	95	5	2022
302	duckweed	-0.1917	0.4861	7	7	70	7	2021
303	dut	-1.2799	-0.0481	1	13	84	7	2021.5714
304	ech	-0.9562	0.3614	1	27	144	8	2017.625
305	ecl	0.9514	1.699	7	4	42	6	2021
306	eco exergy concept	0.7594	0.4871	3	17	104	5	2016
307	economic analysis	0.5038	-0.1874	3	83	190	13	2020.0769
308	economic aspect	0.731	0.3092	3	61	128	6	2021.6667
309	economic evaluation	0.7395	0.1539	3	22	49	5	2020.6
310	economic feasibility	0.6075	0.2065	3	104	247	18	2020.6667
311	edible oil	0.4036	-0.2083	2	129	291	24	2019.9583
312	effective method	-0.258	-0.5341	4	49	92	6	2018
313	efficient catalytic transfer hydrogenation	-1.1106	-0.209	1	38	100	6	2021.1667
314	egg shell	0.6855	-0.2775	2	52	100	13	2019.9231
315	eggshell	0.5961	-0.3523	2	72	169	14	2020.2857
316	egt	1.8509	0.0571	6	49	161	5	2022
317	electricity	0.1651	0.4156	3	114	269	17	2019.8235
318	electrocatalyst	-0.5529	0.9235	5	109	521	28	2017.6071
319	electrocatalytic activity	-0.5681	0.9803	5	78	211	13	2016.6923
320	electrochemical oxidation	-0.7494	1.0216	5	42	106	5	2019
321	electrode	-0.544	1.1065	5	163	1399	76	2017.7105
322	electron transfer	-0.6508	0.9894	5	97	230	11	2019.0909
323	electrooxidation	-0.7433	0.9319	5	84	284	16	2018.0625
324	emf	-0.7099	-0.4167	1	49	303	24	2017.875
325	emf yield	-0.7771	-0.4105	1	38	110	9	2018.3333
326	emission	1.1797	0.1522	6	284	1811	87	2020.069
327	emission characteristic	1.4695	0.0925	6	124	540	24	2020.25
328	emphasis	0.3153	0.2082	3	80	132	10	2019.6
329	emu g	0.1075	-0.2554	2	33	46	5	2018.6
330	emulsification	1.0031	0.0838	6	16	79	8	2019.25
331	emulsion	1.254	0.2131	6	74	177	13	2018.4615
332	emulsion fuel	1.0664	0.1532	6	32	111	8	2019.5
333	energy consumption	0.5275	-0.0536	3	93	204	16	2020.125
334	energy content	0.4663	0.0632	3	64	133	8	2019
335	energy demand	0.394	0.0842	3	188	418	28	2019.8929
336	energy production	0.1185	0.3363	3	115	271	17	2019.7647
337	energy recovery	0.0429	-0.3327	4	97	289	17	2019.9412
338	energy requirement	0.5624	0.2479	3	84	177	9	2021.3333
339	energycane	0.6213	0.278	3	18	216	9	2021
340	engine	1.4687	0.099	6	180	1236	52	2020.3462
341	engine load	1.6393	0.2683	6	76	338	14	2020.0714
342	engine performance	1.3134	0.0609	6	124	345	17	2019.4118
343	engine speed	1.6348	0.271	6	67	243	10	2018.4
344	engine test	0.8703	0.0214	6	55	97	6	2020.1667
345	environmental impact	0.6772	0.0092	3	95	202	16	2020.3125
346	environmental performance	1.7177	0.1164	6	33	195	5	2020.8
347	environmental sustainability	0.8099	0.4997	3	62	133	7	2018.7143
348	enzymatic biofuel cell	-0.6948	1.2896	5	95	398	18	2019.2778
349	enzymatic catalysis	0.3455	0.4775	5	21	45	5	2018
350	enzyme	-0.3475	0.9209	5	247	1487	89	2017.7753
351	enzyme activity	-0.2316	0.7672	5	38	103	5	2014.6
352	ethanolysis	0.8245	-0.2039	2	31	106	9	2018.5556
353	etherification	-0.8164	-0.3722	1	52	150	10	2019.6
354	ethyl	-0.4363	0.5059	5	60	107	8	2017.75
355	ethyl alcohol	0.27	-0.0321	3	14	55	6	2019.3333
356	ethyl levulinate	-0.6423	-0.205	1	118	453	35	2018.2571
357	ethylene	-0.4355	-0.2865	1	28	89	8	2019
358	ethylene glycol	-0.3848	0.2382	5	49	117	9	2019
359	european union	0.3625	-0.1639	2	57	87	6	2020.5
360	example	0.5017	0.3511	3	68	122	7	2020.5714
361	excellent activity	-0.7808	-0.0045	1	64	82	7	2019.1429
362	excellent catalytic performance	-0.952	-0.0268	1	95	170	11	2019.8182
363	excellent performance	-0.6243	0.1815	1	89	143	9	2019.8889
364	excellent stability	-0.7247	-0.1396	1	48	72	5	2018
365	excellent yield	-0.9771	-0.0608	1	51	74	7	2018.7143
366	exergy	1.4628	0.3778	6	63	283	12	2018.25
367	exergy analysis	1.6273	0.3056	6	39	177	9	2017.2222
368	exergy efficiency	1.6074	0.3784	6	46	169	7	2017.1429
369	exhaust emission	1.3632	0.1613	6	60	208	9	2019.4444
370	exhaust gas temperature	1.7248	0.0804	6	57	137	5	2021.4
371	experimental investigation	1.0933	-0.0321	6	60	129	7	2019.8571
372	experimental study	0.7872	0.0188	6	80	139	9	2019.3333
373	experimental value	0.4043	-0.3189	2	33	61	5	2019.4
374	experimental work	0.6183	-0.0879	6	53	126	5	2021.2
375	external hydrogen	-0.9312	-0.2084	1	37	80	5	2017.4
376	external magnet	-0.0475	-0.3266	2	33	41	5	2019.6
377	external magnetic field	0.1592	-0.1845	2	38	54	5	2019.2
378	fabrication	-0.2393	0.189	2	126	231	18	2018.6667
379	facile synthesis	-0.6561	0.1409	1	45	60	5	2017.6
380	faee	0.7389	-0.318	2	21	53	8	2018.75
381	fal	-1.0009	-0.0167	1	22	156	9	2021.3333
382	fame yield	0.3789	-0.2938	2	62	131	21	2019.381
383	fast pyrolysis	-0.4018	-0.2696	1	68	161	10	2018.4
384	fatty acid composition	0.8518	-0.1754	2	78	152	9	2019.1111
385	fatty acid ethyl ester	0.7005	-0.313	2	24	62	8	2019.875
386	fe2o3	0.2232	-0.1551	4	86	286	19	2021
387	feasibility	0.4163	0.1333	3	182	391	21	2018.8571
388	feed concentration	-0.0746	-0.7341	4	66	233	9	2018.8889
389	fen cnt	-0.7405	1.4543	5	14	132	6	2020
390	fermentation	0.4457	0.3882	3	148	511	35	2019.4286
391	fesem image	0.1077	-0.5146	2	43	130	8	2020.125
392	ffa content	0.5965	-0.3755	2	37	57	5	2019.8
393	fine chemical	-0.6253	0.0218	1	91	134	10	2018.5
394	first step	-0.3794	0.017	4	55	92	6	2017.3333
